date,user,text,Sentiment
2009-06-16 18:18:12,LaLaLindsey0609,@chrishasboobs AHHH I HOPE YOUR OK!!! ,Positive
2009-04-06 23:11:14,sexygrneyes,"@misstoriblack cool , i have no tweet apps  for my razr 2",Positive
2009-06-23 13:40:11,sammydearr,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",Positive
2009-06-01 10:26:07,Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,Negative
2009-06-20 12:56:51,yogicerdito,upper airways problem ,Positive
2009-06-06 00:32:16,Yengching,Going to miss Pastor's sermon on Faith... ,Negative
2009-05-31 13:10:36,jessig06,on lunch....dj should come eat with me ,Positive
2009-06-19 16:11:29,felicityfuller,@piginthepoke oh why are you feeling like that? ,Negative
2009-05-11 22:01:32,stephiiheyy,gahh noo!peyton needs to live!this is horrible ,Negative
2009-05-30 03:39:34,wyndwitch,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,Positive
2009-06-05 23:59:27,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,Negative
2009-06-01 08:29:05,spanishman,to sum up my day in one word ......... kackered! ,Positive
2009-06-07 16:46:29,DannyMacRant,@k9wkj Great minds think alike ,Positive
2009-06-17 03:00:02,Arabellakind,Is Poorly and in bed! ,Negative
2009-04-18 14:39:59,Reisei,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",Negative
2009-05-18 03:32:38,andylackie,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",Positive
2009-06-16 03:39:22,biaromerok,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",Negative
2009-05-30 12:06:09,risha_,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,Positive
2009-06-02 06:20:35,stephrunscity,"ugh, morning's off to a rough start ",Negative
2009-06-07 03:36:33,cathymcewan,just bit my tongue ,Negative
2009-06-01 12:09:16,Jaystevens3,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,Negative
2009-06-06 06:49:41,MTVnHollyWEST23,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,Positive
2009-05-28 23:39:25,Peaugh,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",Positive
2009-06-16 04:49:51,Kate_BridgeMin,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,Positive
2009-05-01 23:59:22,babysitter187,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",Negative
2009-06-18 16:54:56,alyshmun,i don't feel good ,Negative
2009-05-29 22:52:37,gcrush,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,Positive
2009-05-29 12:33:09,oniwolf,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,Positive
2009-06-02 02:43:56,ENGLISHSMITH,my car is poorly ,Negative
2009-04-19 06:04:37,seokhye,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,Negative
2009-05-18 00:18:36,ladiejaja,No woooooork tomorrrow&amp;tuesday ,Negative
2009-05-22 00:15:04,mpwatson,Flatmates are still in the bathroom! ARGGH!! ,Negative
2009-06-15 11:29:59,grskell3,I'm having an allergic reaction to silver earings ,Negative
2009-06-01 21:06:49,nailbiter2,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",Positive
2009-06-17 19:07:16,violetile,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",Negative
2009-06-15 14:57:09,RubyRedsocks,what is with msn making me click the wrong people. garrrrr ,Negative
2009-05-30 15:09:38,smurfpop,Too full of fizz but not enough cider ,Negative
2009-06-15 11:01:39,MardiAliyah,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,Negative
2009-06-25 00:37:45,Mystinguette,Time to sleep... Long day again tomorrow ,Negative
2009-06-15 21:53:41,EmelyCuellar,Hahaha blakk is reckkkin it. :p throwwwwwed. ,Positive
2009-05-31 09:37:27,jessrupsch,Cubs game today! My first ever ,Positive
2009-06-07 05:09:02,agirlcalledm,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,Positive
